03/28/2024,"Reference: AT240890006000010051902"," 118.87","DOORDASHDASHMART DOWNTOWN TORONT","",
03/29/2024,"Reference: AT240900006000010018996"," 33.65","TOP TEN PRODUCE (2001) VANCOUVER","",
03/29/2024,"Reference: AT240900006000010010272"," 82.85","WINNERSHOMESENSE 402 VANCOUVER","",
03/30/2024,"Reference: AT240910006000010053120"," 9.63","EVO CAR SHARE BURNABY","",
03/30/2024,"Reference: AT240900006000010007979"," 37.40","LEE'S DONUTS GRANVILLE Vancouver","",
03/30/2024,"Reference: AT240910006000010016998"," 21.92","SHOPPERS DRUG MART #224 VANCOUVER","",
03/31/2024,"Reference: AT240930006000010013901"," 3.62","SAVE ON FOODS #993 VANCOUVER","",
04/01/2024,"Reference: AT240930006000010026001"," 21.33","H-MART CANADA - 007 - E VANCOUVER","",
04/02/2024,"Reference: AT240930006000010027334"," 8.95","AMAZON.CA*B09QY49S3 AMAZON.CA","",
04/02/2024,"Reference: AT240930006000010053740"," 62.99","AMZN MKTP CA*RA9G95241 WWW.AMAZON.CA","",
04/02/2024,"Reference: AT240940006000010032228"," 13.30","FRESH ST. MARKET 1055 VANCOUVER","",
04/02/2024,"Reference: AT240940006000010043316"," 34.96","TOP TEN PRODUCE (2001) VANCOUVER","",
04/04/2024,"Reference: AT241000006000010055151"," 67.33","LULULEMONCOM 877-263-9300","",
04/04/2024,"Reference: AT240960006000010026369"," 6.65","MIX THE BAKERY VANCOUVER","",
04/05/2024,"Reference: AT240970006000010057912"," 5.91","TOP TEN PRODUCE (2001) VANCOUVER","",
04/06/2024,"Reference: AT240980006000010081825"," 115.64","DOORDASHDASHMART DOWNTOWN TORONT","",
04/06/2024,"Reference: AT240970006000010036327"," 9.63","EVO CAR SHARE BURNABY","",
04/06/2024,"Reference: AT240980006000010084732"," 40.89","NOOK KITSILANO 001 VANCOUVER","",
04/06/2024,"Reference: AT240970006000010070767"," 19.47","UBER TRIP HTTPS://HELP.UB","",
04/07/2024,"Reference: AT240990006000010043144"," 5.59","AMAZON.CA PRIME MEMBER AMAZON.CA/PRI","",
04/07/2024,"Reference: AT240990006000010066273"," 12.92","EVO CAR SHARE BURNABY","",
04/07/2024,"Reference: AT240980006000010039924"," 9.77","NERO WAFFLES ON ROBSON Vancouver","",
04/08/2024,"Reference: AT240990006000010066311"," 14.57","EVO CAR SHARE BURNABY","",
04/10/2024,"Reference: AT241020005000010065338"," 18.89","ABC*803-GOLDS GYM VANCOUVER","",
04/10/2024,"Reference: AT241010006000010036373"," 26.24","LA GROTTA DEL FORMAGGIO Vancouver","",
04/11/2024,"Reference: AT241030007000010038084"," 22.88","E FOOD INC. 407149123 VANCOUVER","",
04/11/2024,"Reference: AT241030007000010038466"," 24.16","TOP TEN PRODUCE (2001) VANCOUVER","",
04/13/2024,"Reference: AT241040006000010041073"," 9.08","EVO CAR SHARE BURNABY","",
04/13/2024,"Reference: AT241040006000010062282"," 5.24","EVO CAR SHARE BURNABY","",
04/13/2024,"Reference: AT241040006000010078942"," 5.24","EVO CAR SHARE BURNABY","",
04/13/2024,"Reference: AT241040006000010078026"," 22.68","THE CIDER HOUSE - RESTA Vancouver","",
04/15/2024,"Reference: AT241070006000010026003"," 123.38","DOORDASHDASHMART DOWNTOWN TORONT","",
04/17/2024,"Reference: AT241080006000010051957"," 6.89","EVO CAR SHARE BURNABY","",
04/17/2024,"Reference: AT241090006000010023700"," 24.47","TOP TEN PRODUCE (2001) VANCOUVER","",
04/18/2024,"Reference: 10000000010417999880840"," -1376.75","PAYMENT RECEIVED - THANK YOU","",
04/19/2024,"Reference: AT241110005000010074401"," 34.66","CINEPLEX #8030 WEB QP TORONTO","",
04/20/2024,"Reference: AT241110005000010046599"," 4.69","EVO CAR SHARE BURNABY","",
04/20/2024,"Reference: AT241110005000010087383"," 6.34","EVO CAR SHARE BURNABY","",
04/20/2024,"Reference: AT241120006000010019908"," 20.63","GROUNDS FOR COFFEE INC VANCOUVER","",
04/20/2024,"Reference: AT241120006000010015215"," 17.78","TOP TEN PRODUCE (2001) VANCOUVER","",
04/21/2024,"Reference: AT241120006000010054064"," 14.02","EVO CAR SHARE BURNABY","",
04/21/2024,"Reference: AT241120006000010067903"," 4.14","EVO CAR SHARE BURNABY","",
04/21/2024,"Reference: AT241130006000010004922"," 10.84","JID OPERATING CORPORATI CHILLIWACK","",
04/21/2024,"Reference: AT241130006000010000170"," 31.26","MANGOS KITCHEN BAR VANCOUVER","",
04/22/2024,"Reference: AT241140006000010074764"," 35.39","DOORDASHDASHMART DOWNTOWN TORONT","",
04/22/2024,"Reference: AT241130006000010069509"," 16.22","EVO CAR SHARE BURNABY","",
04/23/2024,"Reference: AT241150005000010049273"," 6.16","TOP TEN PRODUCE (2001) VANCOUVER","",
04/24/2024,"Reference: AT241160006000010010558"," 18.89","ABC*803-GOLDS GYM VANCOUVER","",
04/24/2024,"Reference: AT241160006000010030220"," 526.10","AIRCANADA WINNIPEG","ROUTING: FROM: VANCOUVER INTERNAT TO: MONTREAL DORVAL INCARRIER: AC CLASS: L TO: OTTAWA MCDONALD CACARRIER: AC CLASS: K TO: VANCOUVER INTERNATCARRIER: AC CLASS: K TO: FICT POINT MINUS 7CARRIER: AC CLASS: X TICKET NUMBER: 0142195116336 PASSENGER NAME: MILAD/YACOUBMOHEB YACOUB",
04/25/2024,"Reference: AT241170006000010047821"," 12.89","CINEPLEX 1149 VANCOUVER","",
04/25/2024,"Reference: AT241170006000010003386"," 22.07","MAXINE'S CAFE & BAR 411 VANCOUVER","",
04/27/2024,"Reference: AT241180006000010069950"," 15.12","EVO CAR SHARE BURNABY","",
02/28/2024,"Reference: AT240600005000010027226"," 18.89","ABC*803-GOLDS GYM VANCOUVER","",
02/29/2024,"Reference: AT240600005000010035574"," 5.24","EVO CAR SHARE BURNABY","",
02/29/2024,"Reference: AT240610006000010080435"," 38.41","MAXINE'S CAFE & BAR 411 VANCOUVER","",
03/01/2024,"Reference: AT240620006000010032299"," 9.44","INDIGO 789 VANCOUVER","",
03/01/2024,"Reference: AT240620006000010031429"," 23.50","LONDON DRUGS 4 VANCOUVER","",
03/01/2024,"Reference: AT240620006000010075521"," 7.35","TRACTOR FOODS - ASH 410 VANCOUVER","",
03/03/2024,"Reference: AT240640006000010059433"," 20.63","TOP TEN PRODUCE (2001) VANCOUVER","",
03/07/2024,"Reference: AT240670006000010024448"," 5.59","AMAZON.CA PRIME MEMBER AMAZON.CA/PRI","",
03/07/2024,"Reference: AT240670006000010057598"," 8.53","EVO CAR SHARE BURNABY","",
03/07/2024,"Reference: AT240680006000010016613"," 35.93","TST-YOLKS - DAVIE ST VANCOUVER","",
03/08/2024,"Reference: AT240690006000010052915"," -136.13","ADMIT ONE 8494200005532 437-2421034","",
03/09/2024,"Reference: AT240690006000010083948"," 5.79","EVO CAR SHARE BURNABY","",
03/10/2024,"Reference: AT240710006000010030131"," 105.53","DOORDASHDASHMART DOWNTOWN TORONT","",
03/11/2024,"Reference: AT240710006000010050791"," 8.53","EVO CAR SHARE BURNABY","",
03/11/2024,"Reference: AT240720006000010017601"," 18.66","TOP TEN PRODUCE (2001) VANCOUVER","",
03/12/2024,"Reference: AT240720006000010052018"," 19.03","AMZN MKTP CA*R66169KH0 WWW.AMAZON.CA","",
03/13/2024,"Reference: AT240740006000010034359"," 18.89","ABC*803-GOLDS GYM VANCOUVER","",
03/13/2024,"Reference: AT240740006000010061514"," 22.74","FRESH ST. MARKET 1055 VANCOUVER","",
03/13/2024,"Reference: AT240740006000010060071"," 7.80","TOP TEN PRODUCE (2001) VANCOUVER","",
03/14/2024,"Reference: AT240740006000010022347"," 14.02","EVO CAR SHARE BURNABY","",
03/14/2024,"Reference: AT240740006000010022353"," 7.44","EVO CAR SHARE BURNABY","",
03/14/2024,"Reference: AT240750006000010023329"," 60.00","THE ARTONA GROUP INC. VANCOUVER","",
